                                       Count	% All	% Overflowing
===> Overflow Analysis <===
Valid packages processed:              1172
... containing any overflows:          413 	35%
== Undefined ==
... containing undefined overflows:    197 	16%	47%
... containing signed overflows:       73 	6%	17%
... containing shift overflows:        174 	14%	42%
... containing signed negation errs:   17 	1%	4%
... containing division errs:          1 	0%	0%
== Not Undefined ==
... containing unsigned overflows:     355 	30%	85%
... containing unsigned negation errs: 64 	5%	15%

===> General Package Stats <===
Processed:                      10000
Success:                        8440
Fail:                           1560
C/C++:                          4852
Overflowing:                    499
Loaded IOC-instr code:          3371
== Ignoring Configure Tests ==
Overflowing:                    417
Loaded IOC-instr code:          1172

===> Run Stats <===
ETA for run completion:         0 days 0 hours 0 mins
Packages remaining:             0

====================================================================================
Package Name                   | Any | Signd | Shift | SNeg  | Div   | Usign | UNeg 
gtk+3.0 ...................... | Yes | ..... | ..... | ..... | ..... | Usign | .....
gtk-gnutella ................. | ... | ..... | ..... | ..... | ..... | ..... | .....
gtkwave ...................... | Yes | ..... | ..... | ..... | ..... | Usign | .....
gtools ....................... | ... | ..... | ..... | ..... | ..... | ..... | .....
gts .......................... | ... | ..... | ..... | ..... | ..... | ..... | .....
guessnet ..................... | ... | ..... | ..... | ..... | ..... | ..... | .....
guile-1.6 .................... | Yes | Signd | Shift | SNeg  | ..... | Usign | UNeg 
guile-1.8 .................... | Yes | Signd | Shift | ..... | ..... | Usign | .....
guile-2.0 .................... | Yes | Signd | Shift | ..... | ..... | Usign | UNeg 
guile-cairo .................. | ... | ..... | ..... | ..... | ..... | ..... | .....
gutenprint ................... | Yes | ..... | ..... | ..... | ..... | Usign | .....
gv ........................... | ... | ..... | ..... | ..... | ..... | ..... | .....
gxine ........................ | ... | ..... | ..... | ..... | ..... | ..... | .....
gzip ......................... | Yes | ..... | ..... | ..... | ..... | Usign | .....
hashalot ..................... | Yes | ..... | ..... | ..... | ..... | Usign | .....
hatari ....................... | Yes | ..... | Shift | ..... | ..... | ..... | .....
haveged ...................... | Yes | Signd | Shift | ..... | ..... | Usign | .....
haxe ......................... | ... | ..... | ..... | ..... | ..... | ..... | .....
hdf5 ......................... | ... | ..... | ..... | ..... | ..... | ..... | .....
heartbeat .................... | ... | ..... | ..... | ..... | ..... | ..... | .....
heimdal ...................... | ... | ..... | ..... | ..... | ..... | ..... | .....
heroes ....................... | Yes | ..... | ..... | ..... | ..... | Usign | .....
hexer ........................ | ... | ..... | ..... | ..... | ..... | ..... | .....
hivex ........................ | Yes | ..... | ..... | ..... | ..... | Usign | .....
hkgerman ..................... | ... | ..... | ..... | ..... | ..... | ..... | .....
hkl .......................... | Yes | ..... | ..... | ..... | ..... | Usign | .....
hmisc ........................ | ... | ..... | ..... | ..... | ..... | ..... | .....
hnb .......................... | Yes | ..... | ..... | ..... | ..... | Usign | .....
hping3 ....................... | ... | ..... | ..... | ..... | ..... | ..... | .....
hspell ....................... | ... | ..... | ..... | ..... | ..... | ..... | .....
html2text .................... | Yes | ..... | ..... | ..... | ..... | Usign | .....
htmldoc ...................... | Yes | ..... | ..... | ..... | ..... | Usign | .....
hwloc ........................ | Yes | ..... | ..... | ..... | ..... | Usign | .....
hydrogen ..................... | ... | ..... | ..... | ..... | ..... | ..... | .....
hyphen ....................... | Yes | ..... | ..... | ..... | ..... | Usign | .....
iaxmodem ..................... | ... | ..... | ..... | ..... | ..... | ..... | .....
ibus-chewing ................. | ... | ..... | ..... | ..... | ..... | ..... | .....
ibus-pinyin .................. | ... | ..... | ..... | ..... | ..... | ..... | .....
ical2html .................... | ... | ..... | ..... | ..... | ..... | ..... | .....
icon ......................... | Yes | ..... | Shift | ..... | ..... | Usign | UNeg 
icon-slicer .................. | ... | ..... | ..... | ..... | ..... | ..... | .....
idesk ........................ | ... | ..... | ..... | ..... | ..... | ..... | .....
id-utils ..................... | ... | ..... | ..... | ..... | ..... | ..... | .....
idzebra ...................... | Yes | ..... | Shift | ..... | ..... | Usign | .....
iec16022 ..................... | ... | ..... | ..... | ..... | ..... | ..... | .....
infernal ..................... | Yes | ..... | ..... | ..... | ..... | Usign | .....
inn .......................... | ... | ..... | ..... | ..... | ..... | ..... | .....
inotify-tools ................ | ... | ..... | ..... | ..... | ..... | ..... | .....
iodine ....................... | Yes | ..... | Shift | ..... | ..... | Usign | .....
ipsvd ........................ | Yes | ..... | ..... | ..... | ..... | Usign | .....
ircii ........................ | ... | ..... | ..... | ..... | ..... | ..... | .....
isc-dhcp ..................... | ... | ..... | ..... | ..... | ..... | ..... | .....
ispell ....................... | ... | ..... | ..... | ..... | ..... | ..... | .....
iverilog ..................... | ... | ..... | ..... | ..... | ..... | ..... | .....
jam .......................... | Yes | ..... | ..... | ..... | ..... | Usign | .....
jbig2dec ..................... | Yes | ..... | Shift | ..... | ..... | Usign | .....
jbigkit ...................... | Yes | ..... | ..... | ..... | ..... | Usign | .....
jed .......................... | ... | ..... | ..... | ..... | ..... | ..... | .....
jemalloc ..................... | Yes | ..... | ..... | ..... | ..... | Usign | UNeg 
jimtcl ....................... | Yes | ..... | Shift | ..... | ..... | Usign | .....
jove ......................... | ... | ..... | ..... | ..... | ..... | ..... | .....
json-glib .................... | Yes | ..... | ..... | ..... | ..... | Usign | .....
judy ......................... | ... | ..... | ..... | ..... | ..... | ..... | .....
jumpnbump .................... | ... | ..... | ..... | ..... | ..... | ..... | .....
kakasi ....................... | Yes | ..... | ..... | ..... | ..... | Usign | .....
kdepimlibs ................... | ... | ..... | ..... | ..... | ..... | ..... | .....
kde-workspace ................ | ... | ..... | ..... | ..... | ..... | ..... | .....
kernsmooth ................... | ... | ..... | ..... | ..... | ..... | ..... | .....
ksh .......................... | Yes | ..... | Shift | ..... | ..... | Usign | .....
